Territorialidades,IDHM 2000,IDHM 2010,IDHM Renda 2000,IDHM Renda 2010,IDHM Longevidade 2000,IDHM Longevidade 2010,IDHM Educação 2000,IDHM Educação 2010,Subíndice de frequência escolar - IDHM Educação 2000,Subíndice de frequência escolar - IDHM Educação 2010,Subíndice de escolaridade - IDHM Educação 2000,Subíndice de escolaridade - IDHM Educação 2010,Renda per capita 2012,Renda per capita 2013,Renda per capita 2014,Renda per capita 2015,Subíndice de escolaridade - IDHM Educação 2012,Subíndice de escolaridade - IDHM Educação 2013,Subíndice de escolaridade - IDHM Educação 2014,Subíndice de escolaridade - IDHM Educação 2015,Subíndice de frequência escolar - IDHM Educação 2012,Subíndice de frequência escolar - IDHM Educação 2013,Subíndice de frequência escolar - IDHM Educação 2014,Subíndice de frequência escolar - IDHM Educação 2015,IDHM Educação 2012,IDHM Educação 2013,IDHM Educação 2014,IDHM Educação 2015,IDHM Longevidade 2012,IDHM Longevidade 2013,IDHM Longevidade 2014,IDHM Longevidade 2015,IDHM Renda 2012,IDHM Renda 2013,IDHM Renda 2014,IDHM Renda 2015,IDHM 2012,IDHM 2013,IDHM 2014,IDHM 2015,Renda per capita 2000,Renda per capita 2010,Desagregação HOMEM IDHM Censo,Desagregação HOMEM IDHM Censo,Desagregação HOMEM IDHM Renda Censo,Desagregação HOMEM IDHM Renda Censo,Desagregação HOMEM IDHM Longevidade Censo,Desagregação HOMEM IDHM Longevidade Censo,Desagregação HOMEM IDHM Educação Censo,Desagregação HOMEM IDHM Educação Censo,Desagregação HOMEM Subíndice de frequência escolar - IDHM Educação Censo,Desagregação HOMEM Subíndice de frequência escolar - IDHM Educação Censo,Desagregação HOMEM Subíndice de escolaridade - IDHM Educação Censo,Desagregação HOMEM Subíndice de escolaridade - IDHM Educação Censo,Desagregação HOMEM Renda per capita PNAD,Desagregação HOMEM Renda per capita PNAD,Desagregação HOMEM Renda per capita PNAD,Desagregação HOMEM Renda per capita PNAD,Desagregação HOMEM Subíndice de escolaridade - IDHM Educação PNAD,Desagregação HOMEM Subíndice de escolaridade - IDHM Educação PNAD,Desagregação HOMEM Subíndice de escolaridade - IDHM Educação PNAD,Desagregação HOMEM Subíndice de escolaridade - IDHM Educação PNAD,Desagregação HOMEM Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação HOMEM Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação HOMEM Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação HOMEM Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação HOMEM IDHM Educação PNAD,Desagregação HOMEM IDHM Educação PNAD,Desagregação HOMEM IDHM Educação PNAD,Desagregação HOMEM IDHM Educação PNAD,Desagregação HOMEM IDHM Longevidade PNAD,Desagregação HOMEM IDHM Longevidade PNAD,Desagregação HOMEM IDHM Longevidade PNAD,Desagregação HOMEM IDHM Longevidade PNAD,Desagregação HOMEM IDHM Renda PNAD,Desagregação HOMEM IDHM Renda PNAD,Desagregação HOMEM IDHM Renda PNAD,Desagregação HOMEM IDHM Renda PNAD,Desagregação HOMEM IDHM PNAD,Desagregação HOMEM IDHM PNAD,Desagregação HOMEM IDHM PNAD,Desagregação HOMEM IDHM PNAD,Desagregação HOMEM Renda per capita Censo,Desagregação HOMEM Renda per capita Censo,Desagregação MULHER IDHM Censo,Desagregação MULHER IDHM Censo,Desagregação MULHER IDHM Renda Censo,Desagregação MULHER IDHM Renda Censo,Desagregação MULHER IDHM Longevidade Censo,Desagregação MULHER IDHM Longevidade Censo,Desagregação MULHER IDHM Educação Censo,Desagregação MULHER IDHM Educação Censo,Desagregação MULHER Subíndice de frequência escolar - IDHM Educação Censo,Desagregação MULHER Subíndice de frequência escolar - IDHM Educação Censo,Desagregação MULHER Subíndice de escolaridade - IDHM Educação Censo,Desagregação MULHER Subíndice de escolaridade - IDHM Educação Censo,Desagregação MULHER Renda per capita PNAD,Desagregação MULHER Renda per capita PNAD,Desagregação MULHER Renda per capita PNAD,Desagregação MULHER Renda per capita PNAD,Desagregação MULHER Subíndice de escolaridade - IDHM Educação PNAD,Desagregação MULHER Subíndice de escolaridade - IDHM Educação PNAD,Desagregação MULHER Subíndice de escolaridade - IDHM Educação PNAD,Desagregação MULHER Subíndice de escolaridade - IDHM Educação PNAD,Desagregação MULHER Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação MULHER Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação MULHER Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação MULHER Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação MULHER IDHM Educação PNAD,Desagregação MULHER IDHM Educação PNAD,Desagregação MULHER IDHM Educação PNAD,Desagregação MULHER IDHM Educação PNAD,Desagregação MULHER IDHM Longevidade PNAD,Desagregação MULHER IDHM Longevidade PNAD,Desagregação MULHER IDHM Longevidade PNAD,Desagregação MULHER IDHM Longevidade PNAD,Desagregação MULHER IDHM Renda PNAD,Desagregação MULHER IDHM Renda PNAD,Desagregação MULHER IDHM Renda PNAD,Desagregação MULHER IDHM Renda PNAD,Desagregação MULHER IDHM PNAD,Desagregação MULHER IDHM PNAD,Desagregação MULHER IDHM PNAD,Desagregação MULHER IDHM PNAD,Desagregação MULHER Renda per capita Censo,Desagregação MULHER Renda per capita Censo
Brasil,0.612,0.727,0.692,0.739,0.727,0.816,0.456,0.637,0.488,0.686,0.398,0.549,759.11,784.47,806.32,780.32,0.606,0.615,0.63,0.642,0.731,0.744,0.761,0.769,0.687,0.698,0.715,0.724,0.825,0.83,0.835,0.84,0.732,0.737,0.741,0.736,0.746,0.753,0.762,0.765,592.46,793.87,0.58,0.7,0.692,0.74,0.662,0.746,0.429,0.612,0.454,0.657,0.383,0.53,769.68,799.98,818.49,791.39,0.6,0.6,0.617,0.629,0.692,0.706,0.727,0.735,0.658,0.669,0.688,0.698,0.764,0.77,0.775,0.78,0.734,0.74,0.744,0.738,0.717,0.725,0.735,0.738,593.45,801.88,0.64,0.76,0.691,0.737,0.779,0.872,0.483,0.671,0.523,0.73,0.411,0.567,748.96,769.56,794.63,769.7,0.62,0.63,0.643,0.653,0.771,0.783,0.796,0.804,0.715,0.727,0.741,0.75,0.887,0.892,0.896,0.901,0.729,0.734,0.739,0.734,0.773,0.781,0.789,0.792,590.66,786.21
Abadia de Goiás (GO),0.569,0.708,0.623,0.687,0.765,0.83,0.386,0.622,0.454,0.702,0.28,0.489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385.66,574.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abadia dos Dourados (MG),0.575,0.689,0.616,0.693,0.799,0.839,0.387,0.563,0.492,0.673,0.239,0.394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.42,596.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abadiânia (GO),0.503,0.689,0.598,0.671,0.73,0.841,0.292,0.579,0.337,0.669,0.22,0.433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.07,519.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abaeté (MG),0.587,0.698,0.664,0.72,0.792,0.848,0.385,0.556,0.478,0.689,0.249,0.363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498.82,707.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abaetetuba (PA),0.501,0.628,0.523,0.579,0.75,0.798,0.32,0.537,0.349,0.599,0.268,0.432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.84,293.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abaiara (CE),0.452,0.628,0.464,0.54,0.703,0.748,0.283,0.612,0.373,0.751,0.163,0.406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.75,229.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abaíra (BA),0.495,0.603,0.52,0.577,0.715,0.746,0.326,0.51,0.464,0.677,0.161,0.289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.01,290.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abaré (BA),0.422,0.575,0.488,0.533,0.642,0.776,0.24,0.46,0.272,0.553,0.187,0.319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.97,220.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abatiá (PR),0.553,0.687,0.575,0.676,0.744,0.804,0.396,0.596,0.492,0.747,0.257,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.5,535.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdon Batista (SC),0.576,0.694,0.583,0.66,0.75,0.812,0.437,0.625,0.534,0.802,0.292,0.379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.64,485.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abelardo Luz (SC),0.579,0.696,0.661,0.684,0.791,0.852,0.371,0.578,0.455,0.692,0.246,0.404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490.21,562.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abel Figueiredo (PA),0.508,0.622,0.592,0.625,0.709,0.8,0.313,0.481,0.363,0.559,0.232,0.356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.56,390.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
